,yield,n,name
0,1611.0,0.0,Historical
1,2000.0,0.9090909090909091,Historical
2,2653.0,1.8181818181818181,Historical
3,2769.0,2.727272727272727,Historical
4,2821.1666666666665,3.6363636363636362,Historical
5,2939.03125,4.545454545454546,Historical
6,3153.9,5.454545454545454,Historical
7,3166.28125,6.363636363636363,Historical
8,3206.090909090909,7.2727272727272725,Historical
9,3226.75,8.181818181818182,Historical
10,3324.625,9.090909090909092,Historical
11,3347.9583333333335,10.0,Historical
12,3440.1666666666665,10.909090909090908,Historical
13,3642.7272727272725,11.818181818181818,Historical
14,3643.84375,12.727272727272727,Historical
15,3710.625,13.636363636363635,Historical
16,3860.875,14.545454545454545,Historical
17,3870.8888888888887,15.454545454545453,Historical
18,3926.285714285714,16.363636363636363,Historical
19,3969.4242424242425,17.272727272727273,Historical
20,4090.5555555555557,18.181818181818183,Historical
21,4158.708333333333,19.090909090909093,Historical
22,4204.875,20.0,Historical
23,4444.272727272727,20.909090909090907,Historical
24,4502.75,21.818181818181817,Historical
25,4594.5,22.727272727272727,Historical
26,4647.060606060606,23.636363636363637,Historical
27,4676.545454545455,24.545454545454547,Historical
28,4744.515151515152,25.454545454545453,Historical
29,4764.0,26.36363636363636,Historical
30,4962.125,27.27272727272727,Historical
31,5144.0,28.18181818181818,Historical
32,5286.0,29.09090909090909,Historical
33,5317.233333333334,30.0,Historical
34,5322.454545454545,30.909090909090907,Historical
35,5355.714285714285,31.818181818181817,Historical
36,5453.875,32.72727272727273,Historical
37,5525.625,33.63636363636363,Historical
38,5527.5625,34.54545454545455,Historical
39,5581.0,35.45454545454545,Historical
40,5683.181818181818,36.36363636363637,Historical
41,5849.636363636364,37.27272727272727,Historical
42,5872.090909090909,38.18181818181819,Historical
43,5945.833333333333,39.09090909090909,Historical
44,5961.142857142857,40.0,Historical
45,6301.7,40.909090909090914,Historical
46,6374.151515151515,41.81818181818181,Historical
47,6581.6,42.72727272727273,Historical
48,6702.5,43.63636363636363,Historical
49,6784.545454545455,44.54545454545455,Historical
50,6882.545454545455,45.45454545454545,Historical
51,6892.333333333333,46.36363636363636,Historical
52,7165.0,47.27272727272727,Historical
53,7212.909090909091,48.18181818181818,Historical
54,7342.0,49.09090909090909,Historical
55,7401.833333333333,50.0,Historical
56,7426.8,50.90909090909091,Historical
57,7611.818181818182,51.81818181818182,Historical
58,7691.0,52.72727272727272,Historical
59,7762.285714285715,53.63636363636364,Historical
60,7815.181818181818,54.54545454545454,Historical
61,7826.8,55.45454545454545,Historical
62,7932.571428571428,56.36363636363636,Historical
63,7950.0,57.27272727272727,Historical
64,7993.5,58.18181818181818,Historical
65,8111.242424242424,59.09090909090909,Historical
66,8114.2,60.0,Historical
67,8126.2,60.909090909090914,Historical
68,8174.285714285715,61.81818181818181,Historical
69,8241.848484848484,62.727272727272734,Historical
70,8261.57142857143,63.63636363636363,Historical
71,8393.879310344828,64.54545454545455,Historical
72,8418.333333333334,65.45454545454545,Historical
73,8431.09090909091,66.36363636363637,Historical
74,8462.575757575758,67.27272727272727,Historical
75,8528.787878787878,68.18181818181817,Historical
76,8650.9,69.0909090909091,Historical
77,8658.515151515152,70.0,Historical
78,8678.0,70.9090909090909,Historical
79,8701.0,71.81818181818181,Historical
80,8701.57142857143,72.72727272727273,Historical
81,8740.42857142857,73.63636363636363,Historical
82,8823.4,74.54545454545455,Historical
83,8828.6,75.45454545454545,Historical
84,8872.375,76.36363636363637,Historical
85,8882.0,77.27272727272727,Historical
86,8882.714285714286,78.18181818181819,Historical
87,9021.285714285714,79.0909090909091,Historical
88,9052.8,80.0,Historical
89,9056.09090909091,80.9090909090909,Historical
90,9095.818181818182,81.81818181818183,Historical
91,9120.166666666666,82.72727272727273,Historical
92,9126.285714285714,83.63636363636363,Historical
93,9141.625,84.54545454545455,Historical
94,9224.818181818182,85.45454545454545,Historical
95,9425.2,86.36363636363636,Historical
96,9429.060606060606,87.27272727272727,Historical
97,9482.121212121212,88.18181818181819,Historical
98,9532.2,89.0909090909091,Historical
99,9579.2,90.0,Historical
100,9647.424242424242,90.9090909090909,Historical
101,9674.285714285714,91.81818181818183,Historical
102,9747.4,92.72727272727272,Historical
103,9757.0,93.63636363636364,Historical
104,9779.60606060606,94.54545454545455,Historical
105,9869.636363636364,95.45454545454545,Historical
106,9916.939393939394,96.36363636363636,Historical
107,9962.0,97.27272727272728,Historical
108,9984.666666666666,98.18181818181819,Historical
109,10287.0,99.0909090909091,Historical
110,10317.666666666666,100.0,Historical
0,1611.0,0.0,El Niño
1,2000.0,2.7777777777777777,El Niño
2,2653.0,5.555555555555555,El Niño
3,2769.0,8.333333333333332,El Niño
4,3153.9,11.11111111111111,El Niño
5,3440.1666666666665,13.88888888888889,El Niño
6,3710.625,16.666666666666664,El Niño
7,3860.875,19.444444444444446,El Niño
8,3870.8888888888887,22.22222222222222,El Niño
9,4090.5555555555557,25.0,El Niño
10,4502.75,27.77777777777778,El Niño
11,4962.125,30.555555555555557,El Niño
12,5286.0,33.33333333333333,El Niño
13,5355.714285714285,36.11111111111111,El Niño
14,5453.875,38.88888888888889,El Niño
15,5525.625,41.66666666666667,El Niño
16,5945.833333333333,44.44444444444444,El Niño
17,5961.142857142857,47.22222222222222,El Niño
18,6892.333333333333,50.0,El Niño
19,7342.0,52.77777777777778,El Niño
20,7401.833333333333,55.55555555555556,El Niño
21,7426.8,58.333333333333336,El Niño
22,7826.8,61.111111111111114,El Niño
23,7932.571428571428,63.888888888888886,El Niño
24,7950.0,66.66666666666666,El Niño
