,HDAT,DayFl,harvDM_f_hay,n_cycle,texture,date,nyear_month_day,daytoflower,period
8558,1991-06-08,0,0.0,1,clayloam,1991-06-08,2000-06-08,,1991 - 1998
8559,1991-06-09,0,0.0,1,clayloam,1991-06-09,2000-06-9,,1991 - 1998
8560,1991-06-10,0,0.0,1,clayloam,1991-06-10,2000-06-10,,1991 - 1998
8561,1991-06-11,0,0.0,1,clayloam,1991-06-11,2000-06-11,,1991 - 1998
8562,1991-06-12,0,0.0,1,clayloam,1991-06-12,2000-06-12,,1991 - 1998
8563,1991-06-13,0,0.0,1,clayloam,1991-06-13,2000-06-13,,1991 - 1998
8564,1991-06-14,0,0.0,1,clayloam,1991-06-14,2000-06-14,,1991 - 1998
8565,1991-06-15,0,0.0,1,clayloam,1991-06-15,2000-06-15,,1991 - 1998
8566,1991-06-16,0,0.0,1,clayloam,1991-06-16,2000-06-16,,1991 - 1998
8567,1991-06-17,0,0.0,1,clayloam,1991-06-17,2000-06-17,,1991 - 1998
8568,1991-06-18,0,0.0,1,clayloam,1991-06-18,2000-06-18,,1991 - 1998
8569,1991-06-19,0,0.0,1,clayloam,1991-06-19,2000-06-19,,1991 - 1998
8570,1991-06-20,0,0.0,1,clayloam,1991-06-20,2000-06-20,,1991 - 1998
8571,1991-06-21,0,0.0,1,clayloam,1991-06-21,2000-06-21,,1991 - 1998
8572,1991-06-22,0,0.0,1,clayloam,1991-06-22,2000-06-22,,1991 - 1998
8573,1991-06-23,0,0.0,1,clayloam,1991-06-23,2000-06-23,,1991 - 1998
8574,1991-06-24,0,0.0,1,clayloam,1991-06-24,2000-06-24,,1991 - 1998
8575,1991-06-25,0,0.0,1,clayloam,1991-06-25,2000-06-25,,1991 - 1998
8576,1991-06-26,0,0.0,1,clayloam,1991-06-26,2000-06-26,,1991 - 1998
8577,1991-06-27,0,0.0,1,clayloam,1991-06-27,2000-06-27,,1991 - 1998
8578,1991-06-28,0,0.0,1,clayloam,1991-06-28,2000-06-28,,1991 - 1998
8579,1991-06-29,0,0.0,1,clayloam,1991-06-29,2000-06-29,,1991 - 1998
8580,1991-06-30,0,0.0,1,clayloam,1991-06-30,2000-06-30,,1991 - 1998
8581,1991-07-01,0,0.0,1,clayloam,1991-07-01,2000-07-01,,1991 - 1998
8582,1991-07-02,0,0.0,1,clayloam,1991-07-02,2000-07-02,,1991 - 1998
8583,1991-07-03,0,0.0,1,clayloam,1991-07-03,2000-07-03,,1991 - 1998
8584,1991-07-04,0,0.0,1,clayloam,1991-07-04,2000-07-04,,1991 - 1998
8585,1991-07-05,0,0.0,1,clayloam,1991-07-05,2000-07-05,,1991 - 1998
8586,1991-07-06,0,0.0,1,clayloam,1991-07-06,2000-07-06,,1991 - 1998
8587,1991-07-07,0,0.0,1,clayloam,1991-07-07,2000-07-07,,1991 - 1998
8588,1991-07-08,0,0.0,1,clayloam,1991-07-08,2000-07-08,,1991 - 1998
8589,1991-07-09,0,0.0,1,clayloam,1991-07-09,2000-07-9,,1991 - 1998
8590,1991-07-10,0,0.0,1,clayloam,1991-07-10,2000-07-10,,1991 - 1998
8591,1991-07-11,0,0.0,1,clayloam,1991-07-11,2000-07-11,,1991 - 1998
8592,1991-07-12,0,0.0,1,clayloam,1991-07-12,2000-07-12,,1991 - 1998
8593,1991-07-13,0,0.0,1,clayloam,1991-07-13,2000-07-13,,1991 - 1998
8594,1991-07-14,0,0.0,1,clayloam,1991-07-14,2000-07-14,,1991 - 1998
8595,1991-07-15,0,0.0,1,clayloam,1991-07-15,2000-07-15,,1991 - 1998
8596,1991-07-16,0,0.0,1,clayloam,1991-07-16,2000-07-16,,1991 - 1998
8597,1991-07-17,0,0.0,1,clayloam,1991-07-17,2000-07-17,,1991 - 1998
8598,1991-07-18,0,0.0,1,clayloam,1991-07-18,2000-07-18,,1991 - 1998
8599,1991-07-19,0,0.0,1,clayloam,1991-07-19,2000-07-19,,1991 - 1998
8600,1991-07-20,0,0.0,1,clayloam,1991-07-20,2000-07-20,,1991 - 1998
8601,1991-07-21,0,0.0,1,clayloam,1991-07-21,2000-07-21,,1991 - 1998
8602,1991-07-22,0,0.0,1,clayloam,1991-07-22,2000-07-22,,1991 - 1998
